Maternal Wall Thickness,Maternal Hb Concentration,Maternal Saturation,Fetal Saturation (Prct),FconcCenters,Fetal Hb Concentration 1,Fetal Hb Concentration 2,SDD(mm),PR
11.0,12.0,1.0,60.0,2.0,11.7,12.0,86,1.0081676615113262
12.0,12.0,1.0,20.0,2.0,11.7,12.0,86,1.0080804912102455
12.0,12.0,1.0,40.0,2.0,11.7,12.0,86,1.008379182127235
12.0,12.0,1.0,60.0,2.0,11.7,12.0,86,1.008692604314157
10.0,12.0,1.0,20.0,2.0,11.7,12.0,90,1.0070557713159825
10.0,12.0,1.0,40.0,2.0,11.7,12.0,90,1.0070320475053083
10.0,12.0,1.0,60.0,2.0,11.7,12.0,90,1.007014743850897
11.0,12.0,1.0,20.0,2.0,11.7,12.0,90,1.0074773597057418
11.0,12.0,1.0,40.0,2.0,11.7,12.0,90,1.0075552365796536
11.0,12.0,1.0,60.0,2.0,11.7,12.0,90,1.0076269695617042
12.0,12.0,1.0,20.0,2.0,11.7,12.0,90,1.0077985877742779
12.0,12.0,1.0,40.0,2.0,11.7,12.0,90,1.0081509330454421
12.0,12.0,1.0,60.0,2.0,11.7,12.0,90,1.0085196164122048
10.0,12.0,1.0,20.0,2.0,11.7,12.0,94,1.0060786634366319
10.0,12.0,1.0,40.0,2.0,11.7,12.0,94,1.0060218471227544
10.0,12.0,1.0,60.0,2.0,11.7,12.0,94,1.0059735709879756
11.0,12.0,1.0,20.0,2.0,11.7,12.0,94,1.006955155210729
11.0,12.0,1.0,40.0,2.0,11.7,12.0,94,1.0070235362169047
11.0,12.0,1.0,60.0,2.0,11.7,12.0,94,1.0070862776120821
12.0,12.0,1.0,20.0,2.0,11.7,12.0,94,1.0075166843383105
12.0,12.0,1.0,40.0,2.0,11.7,12.0,94,1.0079226839636495
12.0,12.0,1.0,60.0,2.0,11.7,12.0,94,1.0083466285102523
